Disaster_ID,Disaster_Type,Country,Region,Disaster_Date,Year,Quarter,Month,Month_Num,Severity_Level,Casualties,Economic_Loss_Million_USD,Response_Time_Hours,Aid_Amount_Million_USD,Recovery_Duration_Days,Efficiency_Score,Area_Affected_SqKm,People_Displaced,Response_Agency
DIS0255,Wildfire,Philippines,Asia-Pacific,2018-01-09,2018,Q1,January,1,4.7,2196,351.41,97,321.26,66,83.9,532,34593,Local Emergency Services
DIS0059,Drought,Norway,Europe,2018-01-11,2018,Q1,January,1,5.4,2043,323.7,127,353.63,113,85.8,1077,33593,Local Emergency Services
DIS0471,Hurricane,Peru,Americas,2018-01-13,2018,Q1,January,1,2.6,3720,504.28,30,219.56,50,100.0,1101,61184,Local Emergency Services
DIS0140,Drought,Australia,Asia-Pacific,2018-01-13,2018,Q1,January,1,7.7,3577,240.12,18,246.21,89,100.0,3801,43213,National Disaster Agency
DIS0416,Cyclone,Syria,Middle East,2018-01-21,2018,Q1,January,1,3.3,1298,462.07,131,169.07,86,73.9,1350,22480,Military Forces
DIS0319,Hurricane,Mexico,Americas,2018-03-02,2018,Q1,March,3,3.0,2744,739.29,129,718.38,76,89.7,595,48440,WHO
DIS0499,Earthquake,Ecuador,Americas,2018-03-16,2018,Q1,March,3,6.4,5654,299.77,130,136.54,92,74.5,2098,38505,UNICEF
DIS0404,Landslide,Indonesia,Asia-Pacific,2018-03-20,2018,Q1,March,3,4.9,1650,81.34,168,67.85,90,63.5,922,27894,Military Forces
DIS0207,Industrial Accident,Yemen,Middle East,2018-03-21,2018,Q1,March,3,6.9,1660,293.11,126,218.32,149,77.6,1184,8948,UNICEF
DIS0342,Landslide,Portugal,Europe,2018-04-04,2018,Q2,April,4,4.3,1359,65.11,135,113.36,105,90.3,2135,20964,Red Cross
DIS0418,Cyclone,Egypt,Africa,2018-04-10,2018,Q2,April,4,4.9,4569,789.54,105,364.75,133,84.5,1797,22938,UN OCHA
DIS0031,Hurricane,Chile,Americas,2018-04-11,2018,Q2,April,4,1.2,2340,196.62,163,142.39,66,69.7,275,16879,Red Cross
DIS0428,Flood,Afghanistan,Middle East,2018-04-13,2018,Q2,April,4,5.0,3544,430.42,83,208.79,136,88.4,1391,52127,National Disaster Agency
DIS0350,Wildfire,Yemen,Middle East,2018-04-17,2018,Q2,April,4,4.8,2129,160.36,156,149.01,127,70.5,1076,25777,WHO
DIS0312,Earthquake,Zimbabwe,Africa,2018-04-18,2018,Q2,April,4,8.1,11752,307.73,160,184.68,189,78.6,1532,102371,National Disaster Agency
DIS0435,Wildfire,Lebanon,Middle East,2018-04-20,2018,Q2,April,4,7.0,1101,809.22,164,553.89,170,79.1,1664,13628,UNICEF
